date,interval_index,output_interval_label,load_actual_kw,load_pred_selected_kw,load_residual_kw,pv_actual_kw,pv_pred_selected_kw,pv_residual_kw,net_load_actual_kw,net_load_pred_kw,net_load_residual_kw,price_actual,price_pred_prev_day,price_residual
2025-01-01,1,0:10-0:20,3529.729600,,,0.000000,0.000000,0.000000,3529.729600,,,0.452700,,
2025-01-01,2,0:20-0:30,3609.528700,,,0.000000,0.000000,0.000000,3609.528700,,,0.473300,,
2025-01-01,3,0:30-0:40,3726.560000,,,0.000000,0.000000,0.000000,3726.560000,,,0.484300,,
2025-01-01,4,0:40-0:50,3510.631100,,,0.000000,0.000000,0.000000,3510.631100,,,0.454100,,
2025-01-01,5,0:50-1:00,3502.562500,,,0.000000,0.000000,0.000000,3502.562500,,,0.426600,,
2025-01-01,6,1:00-1:10,3787.010000,,,0.000000,0.000000,0.000000,3787.010000,,,0.431100,,
2025-01-01,7,1:10-1:20,3900.320500,,,0.000000,0.000000,0.000000,3900.320500,,,0.454400,,
2025-01-01,8,1:20-1:30,3916.837600,,,0.000000,0.000000,0.000000,3916.837600,,,0.448300,,
2025-01-01,9,1:30-1:40,3817.280000,,,0.000000,0.000000,0.000000,3817.280000,,,0.425100,,
2025-01-01,10,1:40-1:50,3533.013600,,,0.000000,0.000000,0.000000,3533.013600,,,0.444000,,
2025-01-01,11,1:50-2:00,3694.661300,,,0.000000,0.000000,0.000000,3694.661300,,,0.478000,,
2025-01-01,12,2:00-2:10,4064.730000,,,0.000000,0.000000,0.000000,4064.730000,,,0.494100,,
2025-01-01,13,2:10-2:20,3810.671000,,,0.000000,0.000000,0.000000,3810.671000,,,0.484000,,
2025-01-01,14,2:20-2:30,3844.949500,,,0.000000,0.000000,0.000000,3844.949500,,,0.475100,,
2025-01-01,15,2:30-2:40,4234.620000,,,0.000000,0.000000,0.000000,4234.620000,,,0.488000,,
2025-01-01,16,2:40-2:50,4109.975500,,,0.000000,0.000000,0.000000,4109.975500,,,0.521500,,
2025-01-01,17,2:50-3:00,3996.894500,,,0.000000,0.000000,0.000000,3996.894500,,,0.549800,,
2025-01-01,18,3:00-3:10,4102.190000,,,0.000000,0.000000,0.000000,4102.190000,,,0.547100,,
2025-01-01,19,3:10-3:20,4086.057700,,,0.000000,0.000000,0.000000,4086.057700,,,0.506700,,
2025-01-01,20,3:20-3:30,4133.762600,,,0.000000,0.000000,0.000000,4133.762600,,,0.476900,,
2025-01-01,21,3:30-3:40,4179.180000,,,0.000000,0.000000,0.000000,4179.180000,,,0.466900,,
2025-01-01,22,3:40-3:50,3953.371100,,,0.000000,0.000000,0.000000,3953.371100,,,0.450100,,
2025-01-01,23,3:50-4:00,3910.749600,,,0.000000,0.000000,0.000000,3910.749600,,,0.460800,,
2025-01-01,24,4:00-4:10,4099.310000,,,0.000000,0.000000,0.000000,4099.310000,,,0.492700,,
2025-01-01,25,4:10-4:20,4123.862300,,,0.000000,0.000000,0.000000,4123.862300,,,0.497600,,
2025-01-01,26,4:20-4:30,4169.006800,,,0.000000,0.000000,0.000000,4169.006800,,,0.488900,,
2025-01-01,27,4:30-4:40,4260.240000,,,0.000000,0.000000,0.000000,4260.240000,,,0.488500,,
2025-01-01,28,4:40-4:50,4217.222200,,,0.000000,0.000000,0.000000,4217.222200,,,0.504200,,
2025-01-01,29,4:50-5:00,4261.857000,,,0.000000,0.000000,0.000000,4261.857000,,,0.517800,,
2025-01-01,30,5:00-5:10,4341.900000,,,0.000000,0.000000,0.000000,4341.900000,,,0.504200,,
2025-01-01,31,5:10-5:20,4208.220800,,,0.002100,0.000000,0.002100,4208.218700,,,0.463900,,
2025-01-01,32,5:20-5:30,4302.123300,,,0.000000,0.000000,0.000000,4302.123300,,,0.489900,,
2025-01-01,33,5:30-5:40,4456.590000,,,0.000000,0.000000,0.000000,4456.590000,,,0.519400,,
2025-01-01,34,5:40-5:50,4148.637000,,,0.029900,0.000000,0.029900,4148.607100,,,0.445900,,
2025-01-01,35,5:50-6:00,4498.133300,,,0.000000,0.000000,0.000000,4498.133300,,,0.672600,,
2025-01-01,36,6:00-6:10,5369.380000,,,0.000000,0.000000,0.000000,5369.380000,,,1.069300,,
